chrom	start	end	name	gencode_name	category	shared_both_cohorts	gene_type	strand	length_bp
chr2	141054115	141056259	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2144
chr2	141057882	141060054	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2172
chr2	141061050	141063273	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2223
chr2	141187420	141189583	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2163
chr2	141228182	141230440	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2258
chr2	141246225	141248354	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2129
chr2	141253521	141255641	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2120
chr2	141479395	141481533	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2138
chr2	141804363	141806754	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2391
chr2	141809278	141811401	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2123
chr2	142129647	142132016	LRP1B	LRP1B	PASSENGER	False	protein_coding	-	2369
chr2	151484335	151486933	NEB	NEB	DRIVER	False	protein_coding	-	2598
chr2	151488970	151495253	NEB	NEB	DRIVER	False	protein_coding	-	6283
chr2	151495275	151509109	NEB	NEB	DRIVER	False	protein_coding	-	13834
chr2	151511732	151520985	NEB	NEB	DRIVER	False	protein_coding	-	9253
chr2	151521736	151539244	NEB	NEB	DRIVER	False	protein_coding	-	17508
chr2	151539343	151542551	NEB	NEB	DRIVER	False	protein_coding	-	3208
chr2	151544887	151556044	NEB	NEB	DRIVER	False	protein_coding	-	11157
chr2	151559591	151571601	NEB	NEB	DRIVER	False	protein_coding	-	12010
chr2	151574694	151577354	NEB	NEB	DRIVER	False	protein_coding	-	2660
chr2	151578337	151588577	NEB	NEB	DRIVER	False	protein_coding	-	10240
chr2	151588888	151599130	NEB	NEB	DRIVER	False	protein_coding	-	10242
chr2	151599441	151622026	NEB	NEB	DRIVER	False	protein_coding	-	22585
chr2	151624533	151632346	NEB	NEB	DRIVER	False	protein_coding	-	7813
chr2	151632653	151634965	NEB	NEB	DRIVER	False	protein_coding	-	2312
chr2	151635226	151637334	NEB	NEB	DRIVER	False	protein_coding	-	2108
chr2	151638279	151647234	NEB	NEB	DRIVER	False	protein_coding	-	8955
chr2	151649175	151651885	NEB	NEB	DRIVER	False	protein_coding	-	2710
chr2	151652991	151660169	NEB	NEB	DRIVER	False	protein_coding	-	7178
chr2	151661134	151676391	NEB	NEB	DRIVER	False	protein_coding	-	15257
chr2	151676564	151683769	NEB	NEB	DRIVER	False	protein_coding	-	7205
chr2	151683777	151685975	NEB	NEB	DRIVER	False	protein_coding	-	2198
chr2	151686418	151698648	NEB	NEB	DRIVER	False	protein_coding	-	12230
chr2	151705880	151707997	NEB	NEB	DRIVER	False	protein_coding	-	2117
chr2	151708655	151711538	NEB	NEB	DRIVER	False	protein_coding	-	2883
chr2	151716415	151718520	NEB	NEB	DRIVER	False	protein_coding	-	2105
chr2	151722381	151726560	NEB	NEB	DRIVER	False	protein_coding	-	4179
chr2	151726690	151730656	NEB	NEB	DRIVER	False	protein_coding	-	3966
chr2	151732120	151735487	NEB	NEB	DRIVER	False	protein_coding	-	3367
chr2	158967639	158969782	TANC1	TANC1	DRIVER	False	protein_coding	+	2143
chr2	159000079	159002189	TANC1	TANC1	DRIVER	False	protein_coding	+	2110
chr2	159064895	159066971	TANC1	TANC1	DRIVER	False	protein_coding	+	2076
chr2	159096636	159098834	TANC1	TANC1	DRIVER	False	protein_coding	+	2198
chr2	159135193	159137298	TANC1	TANC1	DRIVER	False	protein_coding	+	2105
chr2	159146539	159151777	TANC1	TANC1	DRIVER	False	protein_coding	+	5238
chr2	159162282	159164546	TANC1	TANC1	DRIVER	False	protein_coding	+	2264
chr2	159168249	159173272	TANC1	TANC1	DRIVER	False	protein_coding	+	5023
chr2	159173952	159177518	TANC1	TANC1	DRIVER	False	protein_coding	+	3566
chr2	159177555	159180163	TANC1	TANC1	DRIVER	False	protein_coding	+	2608
chr2	159184790	159188024	TANC1	TANC1	DRIVER	False	protein_coding	+	3234
chr2	159193256	159195493	TANC1	TANC1	DRIVER	False	protein_coding	+	2237
chr2	159195607	159197793	TANC1	TANC1	DRIVER	False	protein_coding	+	2186
chr2	159197974	159200053	TANC1	TANC1	DRIVER	False	protein_coding	+	2079
chr2	159216496	159220867	TANC1	TANC1	DRIVER	False	protein_coding	+	4371
chr2	159223231	159233659	TANC1	TANC1	DRIVER	False	protein_coding	+	10428
chr2	159317978	159323027	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	5049
chr2	159323810	159326918	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	3108
chr2	159331539	159333996	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2457
chr2	159335941	159338772	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2831
chr2	159346485	159351357	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	4872
chr2	159372044	159375753	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	3709
chr2	159381558	159387607	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	6049
chr2	159388344	159390485	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2141
chr2	159391118	159393207	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2089
chr2	159394768	159401664	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	6896
chr2	159403371	159406114	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2743
chr2	159411334	159413545	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2211
chr2	159418779	159420867	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2088
chr2	159426940	159440212	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	13272
chr2	159445781	159449409	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	3628
chr2	159452612	159454801	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2189
chr2	159457323	159465762	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	8439
chr2	159477574	159479721	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2147
chr2	159515278	159517659	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2381
chr2	159554442	159556865	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	2423
chr2	159614393	159617569	BAZ2B	BAZ2B	DRIVER	False	protein_coding	-	3176
chr2	162370406	162374662	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	4256
chr2	162378852	162381021	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2169
chr2	162383687	162385939	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2252
chr2	162393388	162395485	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2097
chr2	162395739	162397945	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2206
chr2	162399188	162401441	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2253
chr2	162422246	162424535	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2289
chr2	162434197	162436597	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2400
chr2	162445017	162447443	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2426
chr2	162500984	162503294	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2310
chr2	162503442	162505657	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2215
chr2	162511653	162513674	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2021
chr2	162516729	162519158	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2429
chr2	162526922	162529360	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2438
chr2	162535924	162538080	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	2156
chr2	162835536	162839767	KCNH7	KCNH7	PASSENGER	True	protein_coding	-	4231
chr2	165086525	165098614	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	12089
chr2	165099301	165101424	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	2123
chr2	165111884	165116575	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	4691
chr2	165118749	165123899	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	5150
chr2	165126630	165132417	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	5787
chr2	165136878	165141998	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	5120
chr2	165145738	165148029	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	2291
chr2	165153451	165156903	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	3452
chr2	165161307	165165520	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	4213
chr2	165167735	165171548	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	3813
chr2	165175130	165177444	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	2314
chr2	165178551	165180691	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	2140
chr2	165185550	165187747	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	2197
chr2	165193992	165196083	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2091
chr2	165202822	165205050	SCN3A	SCN3A	PASSENGER	False	protein_coding	-	2228
chr2	165207112	165209265	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2153
chr2	165238371	165242114	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	3743
chr2	165242708	165246448	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	3740
chr2	165265413	165275338	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	9925
chr2	165289629	165291785	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2156
chr2	165293030	165298135	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	5105
chr2	165306847	165316758	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	9911
chr2	165319239	165321364	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2125
chr2	165322155	165324500	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2345
chr2	165325851	165329538	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	3687
chr2	165330329	165332568	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2239
chr2	165341295	165343469	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2174
chr2	165343554	165345911	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2357
chr2	165348900	165351208	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2308
chr2	165353191	165355671	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2480
chr2	165356773	165358857	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2084
chr2	165364142	165368371	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	4229
chr2	165369125	165375966	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	6841
chr2	165376596	165378650	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2054
chr2	165379591	165382197	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	2606
chr2	165385745	165393310	SCN2A	SCN2A	PASSENGER	False	protein_coding	+	7565
chr2	165983640	166001063	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	17423
chr2	166001471	166003908	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	2437
chr2	166006229	166008293	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	2064
chr2	166008358	166010841	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	2483
chr2	166011108	166016727	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	5619
chr2	166032928	166049949	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	17021
chr2	166050718	166057504	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	6786
chr2	166057569	166061867	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	4298
chr2	166070622	166074670	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	4048
chr2	166076709	166078847	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	2138
chr2	166125923	166129039	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	3116
chr2	166148046	166150214	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	2168
chr2	166151789	166156020	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	4231
chr2	166181710	166183806	SCN1A	SCN1A	PASSENGER	False	protein_coding	-	2096
chr2	166402572	166407646	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	5074
chr2	166408664	166411324	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2660
chr2	166411529	166414121	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2592
chr2	166415706	166417985	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2279
chr2	166420189	166424432	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	4243
chr2	166426787	166430274	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	3487
chr2	166431317	166433752	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2435
chr2	166435346	166437440	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2094
chr2	166439582	166446000	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	6418
chr2	166446611	166448708	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2097
chr2	166455869	166458076	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2207
chr2	166460754	166463530	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2776
chr2	166464461	166466987	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2526
chr2	166469614	166475344	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	5730
chr2	166476462	166478710	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2248
chr2	166485855	166487968	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2113
chr2	166492967	166495326	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2359
chr2	166568624	166571183	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2559
chr2	166572632	166574720	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2088
chr2	166610134	166612482	SCN7A	SCN7A	PASSENGER	False	protein_coding	-	2348
chr2	166887479	166889557	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	2078
chr2	166890006	166892195	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	2189
chr2	166902464	166904890	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	2426
chr2	167134900	167137062	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	2162
chr2	167183541	167185640	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	2099
chr2	167186282	167188531	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	2249
chr2	167209734	167211895	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	2161
chr2	167217165	167219300	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	2135
chr2	167238854	167255165	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	16311
chr2	167256856	167260753	XIRP2	XIRP2	PASSENGER	True	protein_coding	+	3897
chr2	169126108	169130084	LRP2	LRP2	DRIVER	False	protein_coding	-	3976
chr2	169131573	169133681	LRP2	LRP2	DRIVER	False	protein_coding	-	2108
chr2	169136391	169141545	LRP2	LRP2	DRIVER	False	protein_coding	-	5154
chr2	169141673	169143793	LRP2	LRP2	DRIVER	False	protein_coding	-	2120
chr2	169144746	169147959	LRP2	LRP2	DRIVER	False	protein_coding	-	3213
chr2	169149897	169158502	LRP2	LRP2	DRIVER	False	protein_coding	-	8605
chr2	169161471	169163600	LRP2	LRP2	DRIVER	False	protein_coding	-	2129
chr2	169164931	169167054	LRP2	LRP2	DRIVER	False	protein_coding	-	2123
chr2	169167538	169179026	LRP2	LRP2	DRIVER	False	protein_coding	-	11488
chr2	169180447	169183450	LRP2	LRP2	DRIVER	False	protein_coding	-	3003
chr2	169184502	169189265	LRP2	LRP2	DRIVER	False	protein_coding	-	4763
chr2	169190831	169194892	LRP2	LRP2	DRIVER	False	protein_coding	-	4061
chr2	169195910	169199911	LRP2	LRP2	DRIVER	False	protein_coding	-	4001
chr2	169200627	169208250	LRP2	LRP2	DRIVER	False	protein_coding	-	7623
chr2	169208452	169210641	LRP2	LRP2	DRIVER	False	protein_coding	-	2189
chr2	169210967	169214870	LRP2	LRP2	DRIVER	False	protein_coding	-	3903
chr2	169215252	169217430	LRP2	LRP2	DRIVER	False	protein_coding	-	2178
chr2	169219453	169221563	LRP2	LRP2	DRIVER	False	protein_coding	-	2110
chr2	169224309	169227588	LRP2	LRP2	DRIVER	False	protein_coding	-	3279
chr2	169230713	169234588	LRP2	LRP2	DRIVER	False	protein_coding	-	3875
chr2	169234839	169248515	LRP2	LRP2	DRIVER	False	protein_coding	-	13676
chr2	169255105	169260217	LRP2	LRP2	DRIVER	False	protein_coding	-	5112
chr2	169269903	169276353	LRP2	LRP2	DRIVER	False	protein_coding	-	6450
chr2	169276744	169281519	LRP2	LRP2	DRIVER	False	protein_coding	-	4775
chr2	169281872	169284001	LRP2	LRP2	DRIVER	False	protein_coding	-	2129
chr2	169288025	169295710	LRP2	LRP2	DRIVER	False	protein_coding	-	7685
chr2	169306280	169308397	LRP2	LRP2	DRIVER	False	protein_coding	-	2117
chr2	169317761	169321884	LRP2	LRP2	DRIVER	False	protein_coding	-	4123
chr2	169361320	169363534	LRP2	LRP2	DRIVER	False	protein_coding	-	2214
chr2	178524988	178626396	TTN	TTN	DRIVER	True	protein_coding	-	101408
chr2	178628300	178638419	TTN	TTN	DRIVER	True	protein_coding	-	10119
chr2	178638698	178643317	TTN	TTN	DRIVER	True	protein_coding	-	4619
chr2	178643547	178655995	TTN	TTN	DRIVER	True	protein_coding	-	12448
chr2	178656497	178660255	TTN	TTN	DRIVER	True	protein_coding	-	3758
chr2	178660758	178686598	TTN	TTN	DRIVER	True	protein_coding	-	25840
chr2	178687110	178690896	TTN	TTN	DRIVER	True	protein_coding	-	3786
chr2	178691015	178699914	TTN	TTN	DRIVER	True	protein_coding	-	8899
chr2	178700119	178737074	TTN	TTN	DRIVER	True	protein_coding	-	36955
chr2	178737081	178742921	TTN	TTN	DRIVER	True	protein_coding	-	5840
chr2	178743404	178755009	TTN	TTN	DRIVER	True	protein_coding	-	11605
chr2	178755221	178760172	TTN	TTN	DRIVER	True	protein_coding	-	4951
chr2	178763176	178787141	TTN	TTN	DRIVER	True	protein_coding	-	23965
chr2	178788359	178796252	TTN	TTN	DRIVER	True	protein_coding	-	7893
chr2	178797494	178803341	TTN	TTN	DRIVER	True	protein_coding	-	5847
chr2	178803551	178805655	TTN	TTN	DRIVER	True	protein_coding	-	2104
chr2	178806211	178808521	TTN	TTN	DRIVER	True	protein_coding	-	2310
chr2	178816525	178818680	TTN	TTN	DRIVER	True	protein_coding	-	2155
chr2	178824312	178826495	TTN	TTN	DRIVER	True	protein_coding	-	2183
chr2	178829664	178831802	TTN	TTN	DRIVER	True	protein_coding	-	2138
chr2	184597528	184600070	ZNF804A	ZNF804A	PASSENGER	False	protein_coding	+	2542
chr2	184865368	184867512	ZNF804A	ZNF804A	PASSENGER	False	protein_coding	+	2144
chr2	184932602	184934733	ZNF804A	ZNF804A	PASSENGER	False	protein_coding	+	2131
chr2	184934782	184940492	ZNF804A	ZNF804A	PASSENGER	False	protein_coding	+	5710
chr2	206273662	206276991	ZDBF2	ZDBF2	DRIVER	False	protein_coding	+	3329
chr2	206278539	206282909	ZDBF2	ZDBF2	DRIVER	False	protein_coding	+	4370
chr2	206291010	206293116	ZDBF2	ZDBF2	DRIVER	False	protein_coding	+	2106
chr2	206296245	206298373	ZDBF2	ZDBF2	DRIVER	False	protein_coding	+	2128
chr2	206303716	206315427	ZDBF2	ZDBF2	DRIVER	False	protein_coding	+	11711
chr2	224764089	224766837	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2748
chr2	224767871	224771645	DOCK10	DOCK10	DRIVER	False	protein_coding	-	3774
chr2	224772156	224776115	DOCK10	DOCK10	DRIVER	False	protein_coding	-	3959
chr2	224777137	224779284	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2147
chr2	224783107	224785742	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2635
chr2	224786021	224790170	DOCK10	DOCK10	DRIVER	False	protein_coding	-	4149
chr2	224791973	224798969	DOCK10	DOCK10	DRIVER	False	protein_coding	-	6996
chr2	224799150	224803040	DOCK10	DOCK10	DRIVER	False	protein_coding	-	3890
chr2	224803111	224809086	DOCK10	DOCK10	DRIVER	False	protein_coding	-	5975
chr2	224813319	224815364	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2045
chr2	224815616	224817713	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2097
chr2	224818445	224820529	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2084
chr2	224822500	224824647	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2147
chr2	224829540	224831612	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2072
chr2	224833149	224835621	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2472
chr2	224836310	224838831	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2521
chr2	224838953	224842896	DOCK10	DOCK10	DRIVER	False	protein_coding	-	3943
chr2	224843752	224846642	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2890
chr2	224848506	224850599	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2093
chr2	224851376	224857982	DOCK10	DOCK10	DRIVER	False	protein_coding	-	6606
chr2	224859579	224866087	DOCK10	DOCK10	DRIVER	False	protein_coding	-	6508
chr2	224872995	224877221	DOCK10	DOCK10	DRIVER	False	protein_coding	-	4226
chr2	224884670	224887531	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2861
chr2	224892341	224894652	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2311
chr2	224895294	224897377	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2083
chr2	224915694	224917784	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2090
chr2	224930548	224932668	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2120
chr2	224945846	224948065	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2219
chr2	224981206	224984809	DOCK10	DOCK10	DRIVER	False	protein_coding	-	3603
chr2	225041251	225043468	DOCK10	DOCK10	DRIVER	False	protein_coding	-	2217
chr2	227001713	227009304	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	7591
chr2	227009312	227013297	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	3985
chr2	227021047	227023173	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2126
chr2	227024801	227026810	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2009
chr2	227026901	227029009	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2108
chr2	227029442	227034481	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	5039
chr2	227041147	227044184	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	3037
chr2	227046474	227048549	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2075
chr2	227049067	227053412	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	4345
chr2	227053593	227061243	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	7650
chr2	227061529	227063598	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2069
chr2	227076893	227079077	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2184
chr2	227079442	227083187	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	3745
chr2	227087652	227090957	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	3305
chr2	227093124	227095289	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2165
chr2	227097693	227105052	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	7359
chr2	227106749	227110286	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	3537
chr2	227110677	227115696	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	5019
chr2	227117644	227122148	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	4504
chr2	227139160	227141238	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2078
chr2	227143361	227145833	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2472
chr2	227146412	227148584	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2172
chr2	227163006	227165453	COL4A4	COL4A4	PASSENGER	False	protein_coding	-	2447
chr2	227978954	227982860	SPHKAP	SPHKAP	PASSENGER	False	protein_coding	-	3906
chr2	227989907	227992326	SPHKAP	SPHKAP	PASSENGER	False	protein_coding	-	2419
chr2	227992533	227996694	SPHKAP	SPHKAP	PASSENGER	False	protein_coding	-	4161
chr2	228015405	228022966	SPHKAP	SPHKAP	PASSENGER	False	protein_coding	-	7561
chr2	228024393	228028543	SPHKAP	SPHKAP	PASSENGER	False	protein_coding	-	4150
chr2	228107831	228109939	SPHKAP	SPHKAP	PASSENGER	False	protein_coding	-	2108
chr2	228130979	228133085	SPHKAP	SPHKAP	PASSENGER	False	protein_coding	-	2106
chr2	228180566	228182687	SPHKAP	SPHKAP	PASSENGER	False	protein_coding	-	2121
chr2	237323002	237331180	COL6A3	COL6A3	DRIVER	False	protein_coding	-	8178
chr2	237331967	237337532	COL6A3	COL6A3	DRIVER	False	protein_coding	-	5565
chr2	237337642	237370177	COL6A3	COL6A3	DRIVER	False	protein_coding	-	32535
chr2	237370616	237373337	COL6A3	COL6A3	DRIVER	False	protein_coding	-	2721
chr2	237373411	237382499	COL6A3	COL6A3	DRIVER	False	protein_coding	-	9088
chr2	237385453	237389184	COL6A3	COL6A3	DRIVER	False	protein_coding	-	3731
chr2	237393586	237397847	COL6A3	COL6A3	DRIVER	False	protein_coding	-	4261
chr2	237409765	237412642	COL6A3	COL6A3	DRIVER	False	protein_coding	-	2877
chr2	237412952	237415328	COL6A3	COL6A3	DRIVER	False	protein_coding	-	2376
chr3	19147509	19149795	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2286
chr3	19252653	19254887	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2234
chr3	19280197	19282329	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2132
chr3	19341586	19343714	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2128
chr3	19345651	19348965	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	3314
chr3	19389480	19392765	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	3285
chr3	19394103	19396311	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2208
chr3	19437163	19439361	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2198
chr3	19449105	19452404	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	3299
chr3	19455767	19457982	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2215
chr3	19509362	19511401	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2039
chr3	19511969	19516428	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	4459
chr3	19516997	19519074	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	2077
chr3	19532394	19536642	KCNH8	KCNH8	PASSENGER	False	protein_coding	+	4248
chr3	38695801	38699562	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	3761
chr3	38700838	38703109	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	2271
chr3	38706278	38708383	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	2105
chr3	38708477	38715080	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	6603
chr3	38717652	38719826	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	2174
chr3	38721257	38729901	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	8644
chr3	38738514	38740688	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	2174
chr3	38741290	38743529	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	2239
chr3	38749072	38751184	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	2112
chr3	38751218	38753512	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	2294
chr3	38754787	38758159	SCN10A	SCN10A	PASSENGER	False	protein_coding	-	3372
